sampling_date,sampling_time,sampling_date_time,tank,sample,CO2_treatment,temperature,salinity,processing_date,spec_pH_25degC,spec_pH_insitu_temp,mean,std_dev,std_dev_x2,cv,percent,min,max,range
7/19/2020,10:40,7/19/2020 10:40,27,2,ambient,16.06,27.35,5/5/2021,7.8669,7.9961,,,,,,,,
7/19/2020,10:42,7/19/2020 10:42,27,3,ambient,16.06,27.37,,,,,,,,,,,
7/19/2020,10:49,7/19/2020 10:49,10,1,ambient,16.06,27.37,5/5/2021,7.8712,8.0003,8.0004,9.77E-05,0.000195321,1.22E-05,0.00%,8.0003,8.0005,0.0001
7/19/2020,10:50,7/19/2020 10:50,10,2,ambient,16.06,27.37,5/5/2021,7.8713,8.0005,,,,,,,,
7/19/2020,10:51,7/19/2020 10:51,10,3,ambient,16.06,27.37,,,,,,,,,,,
7/19/2020,10:59,7/19/2020 10:59,36,1,elevated,16,27.34,5/5/2021,7.613,7.7431,7.7399,0.00445491,0.00890982,0.000575577,0.06%,7.7368,7.7431,0.0063
7/19/2020,11:00,7/19/2020 11:00,36,2,elevated,16,27.34,5/5/2021,7.6067,7.7368,,,,,,,,
7/19/2020,11:01,7/19/2020 11:01,36,3,elevated,16,27.35,,,,,,,,,,,
7/19/2020,11:07,7/19/2020 11:07,16,1,elevated,16,27.34,5/12/2021,7.7521,7.8821,7.8813,0.001105693,0.002211386,0.000140292,0.01%,7.8806,7.8821,0.0016
7/19/2020,11:08,7/19/2020 11:08,16,2,elevated,16,27.33,5/12/2021,7.7505,7.8806,,,,,,,,
7/19/2020,11:09,7/19/2020 11:09,16,3,elevated,16,27.34,,,,,,,,,,,
