sampling_date,sampling_time,sampling_date_time,tank,sample,CO2_treatment,temperature,salinity,processing_date,alk_25degC,alk_insitu_temp,mean,std_dev,std_dev_x2,cv,percent,min,max,range
7/11/2020,11:00,7/11/2020 11:00,14,2,elevated,15.1,28.14,,,,,,,,,,,
7/11/2020,11:01,7/11/2020 11:01,14,3,elevated,15.09,28.14,,,,,,,,,,,
7/11/2020,11:07,7/11/2020 11:07,23,1,ambient,16.3,26.75,,,,,,,,,,,
7/11/2020,11:08,7/11/2020 11:08,23,2,ambient,16.28,26.74,,,,,,,,,,,
7/11/2020,11:09,7/11/2020 11:09,23,3,ambient,16.31,26.74,,,,,,,,,,,
7/11/2020,11:13,7/11/2020 11:13,31,1,elevated,15.09,28.14,,,,,,,,,,,
7/11/2020,11:15,7/11/2020 11:15,31,2,elevated,15.11,28.14,,,,,,,,,,,
7/11/2020,11:16,7/11/2020 11:16,31,3,elevated,15.12,28.14,,,,,,,,,,,
7/14/2020,10:39,7/14/2020 10:39,8,1,ambient,15.22,27.06,6/9/2021,2299.590851,2322.747095,2323.588429,1.313532875,2.62706575,0.000565304,0.06%,2322.747095,2325.102021,2.354926695
7/14/2020,10:40,7/14/2020 10:40,8,2,ambient,15.25,27.06,6/9/2021,2300.803325,2325.102021,,,,,,,,
7/14/2020,10:41,7/14/2020 10:41,8,3,ambient,15.24,27.06,6/9/2021,2299.096536,2322.91617,,,,,,,,
7/14/2020,10:46,7/14/2020 10:46,14,1,elevated,15.71,28.27,5/19/2021,2284.063579,2307.520055,2305.242765,3.220574235,6.441148471,0.001397065,0.14%,2302.965475,2307.520055,4.554579762
7/14/2020,10:47,7/14/2020 10:47,14,2,elevated,15.72,28.26,5/19/2021,2280.978364,2302.965475,,,,,,,,
7/14/2020,10:48,7/14/2020 10:48,14,3,elevated,15.71,28.27,,,,,,,,,,,
7/14/2020,10:53,7/14/2020 10:53,38,1,ambient,15.26,27.06,5/19/2021,2271.186601,2295.185796,2294.323723,1.219155808,2.438311616,0.000531379,0.05%,2293.46165,2295.185796,1.724146678
7/14/2020,10:54,7/14/2020 10:54,38,2,ambient,15.28,27.06,5/19/2021,2270.259872,2293.46165,,,,,,,,
7/14/2020,10:55,7/14/2020 10:55,38,3,ambient,15.27,27.05,,,,,,,,,,,
7/14/2020,11:00,7/14/2020 11:00,21,1,elevated,15.25,27.05,5/19/2021,2230.362855,2246.459726,2247.748438,1.822513339,3.645026677,0.000810817,0.08%,2246.459726,2249.037149,2.577423081
7/14/2020,11:01,7/14/2020 11:01,21,2,elevated,15.26,27.04,5/19/2021,2233.728403,2249.037149,,,,,,,,
7/14/2020,11:02,7/14/2020 11:02,21,3,elevated,15.26,27.04,,,,,,,,,,,
7/17/2020,10:42,7/17/2020 10:42,37,1,ambient,15.63,27.11,,,,,,,,,,,
7/17/2020,10:44,7/17/2020 10:44,37,2,ambient,15.63,27.12,,,,,,,,,,,
7/17/2020,10:45,7/17/2020 10:45,37,3,ambient,15.63,27.09,,,,,,,,,,,
7/17/2020,10:53,7/17/2020 10:53,11,1,elevated,15.56,27.14,,,,,,,,,,,
7/17/2020,10:54,7/17/2020 10:54,11,2,elevated,15.56,27.15,,,,,,,,,,,
7/17/2020,10:55,7/17/2020 10:55,11,3,elevated,15.56,27.16,,,,,,,,,,,
7/17/2020,11:01,7/17/2020 11:01,22,1,ambient,15.63,27.18,,,,,,,,,,,
7/17/2020,11:02,7/17/2020 11:02,22,2,ambient,15.63,27.17,,,,,,,,,,,
7/17/2020,11:03,7/17/2020 11:03,22,3,ambient,15.63,27.18,,,,,,,,,,,
7/17/2020,11:09,7/17/2020 11:09,29,1,elevated,15.56,27.15,,,,,,,,,,,
7/17/2020,11:10,7/17/2020 11:10,29,2,elevated,15.56,27.15,,,,,,,,,,,
7/17/2020,11:12,7/17/2020 11:12,29,3,elevated,15.56,27.15,,,,,,,,,,,
7/19/2020,11:22,7/19/2020 11:22,102,1,elevated,15.94,27.33,4/20/2021,2289.479795,2313.355173,2315.998255,3.737883112,7.475766224,0.00161394,0.16%,2313.355173,2318.641338,5.286164992
7/19/2020,11:23,7/19/2020 11:23,102,2,elevated,15.94,27.32,4/20/2021,2295.857145,2318.641338,,,,,,,,
7/19/2020,11:24,7/19/2020 11:24,102,3,elevated,15.94,27.33,,,,,,,,,,,
7/19/2020,11:35,7/19/2020 11:35,103,1,elevated,15.94,27.3,4/28/2021,2293.847989,2317.369967,2319.391036,2.858223034,5.716446068,0.001232316,0.12%,2317.369967,2321.412104,4.042137779
7/19/2020,11:36,7/19/2020 11:36,103,2,elevated,15.94,27.3,4/28/2021,2299.664582,2321.412104,,,,,,,,
7/19/2020,11:37,7/19/2020 11:37,103,3,elevated,15.94,27.3,,,,,,,,,,,
7/19/2020,10:39,7/19/2020 10:39,27,1,ambient,16.06,27.35,5/5/2021,2309.869478,2334.017238,2307.697758,37.22136561,74.44273121,0.01612922,1.61%,2281.378278,2334.017238,52.63896005
7/19/2020,10:40,7/19/2020 10:40,27,2,ambient,16.06,27.35,5/5/2021,2259.167355,2281.378278,,,,,,,,
7/19/2020,10:42,7/19/2020 10:42,27,3,ambient,16.06,27.37,,,,,,,,,,,
7/19/2020,10:49,7/19/2020 10:49,10,1,ambient,16.06,27.37,5/5/2021,2268.69148,2291.045915,2289.500498,2.185549579,4.371099157,0.000954597,0.10%,2287.955081,2291.045915,3.090833855
7/19/2020,10:50,7/19/2020 10:50,10,2,ambient,16.06,27.37,5/5/2021,2265.826467,2287.955081,,,,,,,,
7/19/2020,10:51,7/19/2020 10:51,10,3,ambient,16.06,27.37,,,,,,,,,,,
7/19/2020,10:59,7/19/2020 10:59,36,1,elevated,16,27.34,5/5/2021,2260.526992,2282.836633,2282.924368,0.124075303,0.248150605,5.43E-05,0.01%,2282.836633,2283.012102,0.175468976
7/19/2020,11:00,7/19/2020 11:00,36,2,elevated,16,27.34,5/5/2021,2261.122203,2283.012102,,,,,,,,
7/19/2020,11:01,7/19/2020 11:01,36,3,elevated,16,27.35,,,,,,,,,,,
7/19/2020,11:07,7/19/2020 11:07,16,1,elevated,16,27.34,6/9/2021,2269.271641,2292.550879,2291.713636,1.184039707,2.368079413,0.000516661,0.05%,2290.876394,2292.550879,1.674485011
7/19/2020,11:08,7/19/2020 11:08,16,2,elevated,16,27.33,5/12/2021,2267.579931,2290.876394,,,,,,,,
7/19/2020,11:09,7/19/2020 11:09,16,3,elevated,16,27.34,,,,,,,,,,,
